Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
"  Bán c?n h? cao c?p Vinhome view tri?u USD, 2 PN","Nguy?n Xi?n, Ph??ng Long Th?nh M? (Qu?n 9 c?), Thành ph? Th? ??c, Tp H? Chí Minh","4,95 t? ",- 78.9 m2,Ch?a bàn giao,"62,74 tri?u/m²",2 phòng,N/A,Vinhomes Grand Park,"Bán c?n h? khu Bervely ( khu ??p  hoàn h?o t?i Vinhome Grandpark)
- Chung c? cao c?p và nhi?u ti?n ích
- Có bãi bi?n nhân t?o, công viên chung 36 ha
- Có ch? ?êm
- Các ho?t ??ng dã ngo?i: c?m tr?i, chèo thuy?n, th? di?u..
- M?i khu có công viên + h? b?i riêng
- Trung tâm th??ng m?i the Hill hoành tráng 
- Tr??ng h?c, d?ch v? y t? 
- Các d?ch v? ?n u?ng, gi?i trí c?c k? nhi?u
- H? th?ng xe ?i?n mi?n phí trong n?i khu
- Giao nhà: tháng 9.2024
- Nhà giao ?ã hoàn thi?n c? b?n v?i các ti?n ích chung quanh ??y ??
# C?n 1: BE502.07: 1+1 PN; di?n tích 53,8m2, có th? thi công thành 2 PN ( t?ng phí thi?t k? 2 PN)
- Góc nhìn tri?u ?ô: trong phòng ng? nhìn ra công viên ánh sáng ( n?i ?ây có các ho?t ??ng th??ng xuyên: ca s? hát, b?n pháo bông..), n?m trên gi??ng th??ng th?c ???c các ho?t ??ng này
- Góc nhìn bãi bi?n, góc nhìn công viên n?i b?
- Giá bán: 4,338 t? (g?m VAT 10%, 2 % phí b?o trì, 5%  còn l?i khi ra s?)
- Ch? thanh toán tr??c: 985 tr, còn l?i thanh toán theo ti?n ?? ( 3 tháng thanh toán 10%, ho?c vay ngân hàng n?u ?? ?k vay)
# C?n 2,3: BE204.06 và BE204.02: di?n tích 78.9m2, 2 PN 
- Phù h?p v?i cùng gia ?ình ho?c b?n bè do cùng khu cùng block nhà, ti?n qua l?i không ph?i xu?ng d?n lên.
- Góc nhìn tri?u USD: bãi bi?n nhân t?o, công viên s??ng mù. 
- Giá bán: BE204.06 4,950 t? ( thanh toán tr??c 1,250 t?, còn l?i thanh toán theo ti?n ?? cho ch? ??u t?)
 BE204.02 giá 4,750 t? ( thanh toán tr??c 1.2 t? , còn l?i thanh toán theo ti?n ?? cho ch? ??u t?)"
  C?n h? 2 phòng ng? khu làng ??i H?c Qu?c Gia HCM tr? 20% vào ? ngay.,"Th?ng Nh?t, Ph??ng Linh Trung (Qu?n Th? ??c c?), Thành ph? Th? ??c, Tp H? Chí Minh","1,5 t? ",- 55 m2,?ã bàn giao,"27,27 tri?u/m²",2 phòng,Chung c?,?ang c?p nh?t,"Ch? 300 - 400 tri?u nh?n c?n h? ? ho?c khai thác cho thuê ngay.
Di chuy?n ??n các tr??ng trong khu làng ??i H?c ch? 5 phút.
Cách trung tâm Tp Th? ??c TP H? Chí Minh ch? 10 phút theo h??ng ??i l? Ph?m V?n ??ng.
Cách Trung tâm hành chính D? An ch? 5 phút di chuy?n theo h??ng Lý Th??ng Ki?t.
Cách tr??ng M?m non, tr??ng ti?u h?c, tr??ng THCS D? An ch? 3 phút, ??i h?c Qu?c t? ch? 5 phút.
Cách trung tâm th??ng m?i, siêu th?, ch?: VinMart, Bách hóa xanh, Ch? D? An, Go D? An t? 5 - 15 phút.
Cách B?nh vi?n Quân ?oàn 4, b?nh vi?n ?a khoa Hoàn M? Th? ??c, b?nh vi?n Ung b??u c? s? 2 ch? 5 - 15 phút.
Cách khu du l?ch Su?i Tiên, khu du l?ch Su?i M? 5 - 15 phút.
Quy mô: 1 Block g?m 284 c?n h? + 5 shophouse ti?n ích d? án: H? b?i, nhà tr?, công viên, shophouse, phòng sinh ho?t c?ng ??ng, Th?i gian s? h?u: Lâu dài."
"  C?n h? 49m2/1pn/ 1.43t?, 65m2/ 1.9 t? có s? h?ng riêng Green Town lô A","Lô 5, Bình H?ng Hòa B, Ph??ng Bình H?ng Hoà B, Qu?n Bình Tân, Tp H? Chí Minh","1,43 t? ",- 49 m2,?ã bàn giao,"29,18 tri?u/m²",1 phòng,Chung c?,Green Town Bình Tân,"Chính ch? c? dân c?n bán g?p c?n h? Green Hills Bình Tân (block A khu Green Town Bình Tân) n?m trong KDC V?nh L?c
+ ?ã có s? h?ng riêng t?ng c?n
+ ??a ch?: 99 ???ng s? 1, Bình H?ng Hòa B, Bình Tân.
+ N?m trong khu dân c? V?nh L?c 110ha, Nguy?n Th? Tú, Bình Tân. C?n h? n?m li?n k? khu công nghi?p V?nh L?c và KCN Tân Bình, cách sân bay Tân S?n nh?t 15 phút.
- Di?n tích s? d?ng: 49 -65m2
- Thi?t k? 49m2: 1 phòng ng?, 1 nhà v? sinh
- Thi?t k? 65m2: 2 phòng ng?, 1 nhà v? sinh, có ban công riêng
- Giá t
+ C?n 49m2: 1430-1450tr
+ C?n 65m2: 1900tr
+ C?n 98m2 (3pn2wc): 2.4 - 2.8 t?
+ C?n 120m2 (3pn2wc): 3.1 t?
- Có th? ch?n vay bank tho?i mái, trung bình vay kho?ng 550-850tr, chính sách vay tùy vào bank ch?n vay
- Phí qu?n lý: 6.6k/m2, g?i xe 88k/tháng.
* Liên h? em Duy (c? dân block B1) xem nhà th?c t? và trao ??i chi ti?t h?n"
  RÚT V?N LÀM ?N BÁN CH CITY GARDEN: 117M2-VIEW H? B?I,"???ng Ngô T?t T?, Ph??ng 21, Qu?n Bình Th?nh, Tp H? Chí Minh","2,575 t? ",- 117 m2,?ã bàn giao,"22,01 tri?u/m²",2 phòng,Chung c?,?ã bàn giao,"BÁN HO?C CHO THUÊ C?N H? CITY GARDEN QU?N BÌNH TH?NH
- Di?n tích 117m2
-Giá: 2ty575
- K?t c?u c?n h? g?m: 2 phòng ng? và 2 phòng t?m.
- View h? b?i thoáng mát, xanh ??p.
- C?n h? ???c thi?t sang tr?ng.
- ?ã có s? h?ng , công ch?ng trong ngày 
LIÊN H? TR?C TI?P XEM C?N H? , MI?N CÒ LÁI G?I"
  C?N BÁN CHCC OPAL GARDEN CÓ S? H?NG VIEW ??P 2PN,"???ng s? 20, Ph??ng Hi?p Bình Chánh (Qu?n Th? ??c c?), Thành ph? Th? ??c, Tp H? Chí Minh","2,47 t? ",- 70 m2,?ã bàn giao,"35,29 tri?u/m²",2 phòng,Chung c?,?ã bàn giao,"BÁN C?N H? OPAL RIVERSIDE , QU?N TH? ??C
- Di?n tích: 70m2.
- GIÁ: 2TY470 TL

- K?t c?u: 2 phòng ng? và 2 phòng t?m.
- Ban công r?ng rãi thoáng mát h??ng ?ông B?c, view tuy?t ??p.
- Thi?t k? hi?n ??i, bàn giao kèm n?i th?t ??y ??.
C?n h? 2 phòng ng? là s? l?a ch?n hàng ??u dành cho các ?ôi v? ch?ng tr?, h? gia ?ình t? 2-4 thành viên mu?n tìm ki?m m?t ch?n an c? ?? yên tâm l?p nghi?p n?i thành ph? ?ông ?úc này."
  BÁN CHUNG C? BÔNG SAO Q8 T?NG TH?P ??Y ?? N?I TH?T S? H?NG,"???ng T? Quang B?u, Ph??ng 5, Qu?n 8, Tp H? Chí Minh","1,53 t? ",- 55.7 m2,?ã bàn giao,"27,47 tri?u/m²",2 phòng,Chung c?,?ã bàn giao,"T?ng quan
BÁN C?N H? CHUNG C? BÔNG SAO T?NG 1, QU?N 8
- Di?n tích: 55,70m2.
-GIÁ:1TY530

- K?t c?u: 2 phòng ng? và 2 phòng t?m.
- Thi?t k? hi?n ??i, bàn giao n?i th?t ??y ??.
- C?n h? ?ón gió thoáng mát, ng?p tràn ánh sáng t? nhiên.

Chung c? Bông Sao k?t n?i giao thông thu?n ti?n cách c?u Nguy?n Tri Ph??ng ch? 2km, ???ng qu?c l? 50 k?t n?i v?i ???ng Nguy?n V?n Linh - Khu ?ô th? Phú M? H?ng - các t?nh mi?n Tây, cách trung tâm hành chánh qu?n 8 kho?ng 1km, Cách qu?n 1 ch? 4km qua ??i l? Võ V?n Ki?t"
  MÌNH CHÍNH CH? C?N BÁN G?P C?N H? MT EASTMART CITY,"???ng Tr??ng L?u, Ph??ng Long Tr??ng, TP Th? ??c, TP HCM, Ph??ng Long Tr??ng (Qu?n 9 c?), Thành ph? Th? ??c, Tp H? Chí Minh","2,9 t? ",- 734 m2,Ch?a bàn giao,"3,95 tri?u/m²",2 phòng,N/A,MT Eastmark City,"Mình chính ch? c?n bán c?n h? A3.15 di?n tích 73.4m2, d? án MT Easmart City,giá mong mu?n 2.9 t?,các b?n môi gi?i ??y h? mình nhé.
Thông tin chính ch?: ***-***"
"  BÁN G?P CH CAO C?P THE HARMONA, TB, 75M2,2 T? 050, ?Ã CÓ S?","33, Tr??ng Công ??nh, Ph??ng 14, Qu?n Tân Bình, Tp H? Chí Minh","2,05 t? ",- 75 m2,?ã bàn giao,"27,33 tri?u/m²",2 phòng,"C?n h? d?ch v?, mini",The Harmona,"Bán CH cao c?p The Harmona trung tâm Tân Bình.
- DT: 75m².
- K?t c?u: 2PN, 2WC.
- Ban công dài, view h??ng ?N (Q1).
- Ti?n ích: Siêu th?, tr??ng m?u giáo, h? b?i, nhi?u shophouse mua bán s?m u?t.
- N?m g?n sân bay TSN, g?n công viên, sân v?n ??ng, b?nh vi?n, trung tâm th??ng m?i qu?c t?.
- S? sách ??y ??. Công ch?ng trong ngày.
-  Giá 2 t? 050

Liên h? tr?c ti?p mi?n ti?p môi gi?i."
  Bán c?n h? chung c? ?ang ch? s?,"Phan V?n H?n, Ph??ng Tân Th?i Nh?t, Qu?n 12, Tp H? Chí Minh","2,15 t? ",- 64 m2,?ã bàn giao,"33,59 tri?u/m²",3 phòng,N/A,Tecco Green Nest,"c?n h? chung c? di?n tích 64m2 2pn 2wc c?n g?c 2 ban công ??y ?? NT ti?n ích ??y ??, ?ang ch? ra s? ngân hàng h? tr? 70% chính ch? *** anh Chí"
  C?N H? AN HÒA 2pn KDC NAM LONG TR?N TR?NG CUNG,"Tr?n Tr?ng Cung, Ph??ng Tân Thu?n ?ông, Qu?n 7, Tp H? Chí Minh","1,63 t? ",- 52 m2,Ch?a bàn giao,"31,35 tri?u/m²",2 phòng,Chung c?,Ch?a bàn giao,"- Chung C? An Hoà - KDC Nam Long Tr?n Tr?ng Cung Qu?n 7. Giá: 1,63 t? th??ng l??ng
- Dt: 52m² - 2pn - 2wc n?i th?t c? b?n nhà r?t r?ng và thoáng view góc. S? h?ng riêng lh ***"
  CHÚ 9 BÁN C?N H? HIM LAM CH? L?N QU?N 6,"11, Ph??ng 11, Qu?n 6, Tp H? Chí Minh","1,89 t? ",- 1 m2,Ch?a bàn giao,"1,89 t?/m²",2 phòng,Chung c?,Him Lam Ch? L?n,"BÁN C?N H? HIM LAM CH? L?N QU?N 6
- Di?n tích: 82m2.
- K?t c?u: 2 phòng ng? và 2 phòng t?m.
- Thi?t k? hi?n ??i, n?i th?t ??y ??.
- Ban công r?ng rãi, view thành ph? s?m u?t.
C?n h? 2 phòng ng? là s? l?a ch?n hàng ??u dành cho các ?ôi v? ch?ng tr?, h? gia ?ình t? 2-4 thành viên mu?n tìm ki?m m?t ch?n an c? ?? yên tâm l?p nghi?p n?i thành ph? ?ông ?úc này.

N?m ngay trung tâm hành chính Qu?n 6, li?n k? khu giao th??ng s?m u?t Sài Gòn Ch? L?n g?n siêu th? Metro Bình Phú,... k?t n?i giao thông thu?n ti?n ch? cách m?t ti?n ???ng H?u Giang kho?ng 120m, cách Ch? L?n 1,8km, ??i l? Võ V?n Ki?t 1,6km."
"  BÁN C?N H? T?NG 4 RUBY GARDEN QU?N TÂN BÌNH DT 91,6m2 2PN","Nguy?n S? Sách, Ph??ng 15, Qu?n Tân Bình, Tp H? Chí Minh","1,99 t? ",- 1 m2,Ch?a bàn giao,"1,99 t?/m²",2 phòng,Chung c?,Ruby Garden,"BÁN C?N H? T?NG 4 RUBY GARDEN, QU?N TÂN BÌNH
- Di?n tích 91.6m2
- Bao g?m 2 phòng ng? và 2 phòng t?m
- C?n h? h??ng t?t, ban công r?ng rãi view h? b?i thoáng mát.
- Có thi?t k? hi?n ??i v?i n?i th?t c? b?n.
C?n h? 2 phòng ng? là s? l?a ch?n hàng ??u dành cho các ?ôi v? ch?ng tr?, h? gia ?ình t? 2-4 thành viên mu?n tìm ki?m m?t ch?n an c? ?? yên tâm l?p nghi?p n?i thành ph? ?ông ?úc này.

Gi?a tòa nhà là nh?ng kho?ng thông t?ng ???c thi?t k? theo nguyên lý ""Khí ??ng h?c"" giúp các c?n h? luôn thông thoáng b?i nh?ng lu?ng không khí ??i l?u. Hãy ??n c?m nh?n m?t l?i s?ng mang phong cách hi?n ??i và hãy là nh?ng ng??i ??u tiên tr?i nghi?m m?t thi?t k? ??t phá m?i m? t?i Vi?t Nam."
  BÁN C?N H? PARK LEGEND QU?N TÂN BÌNH DT70m2 2PN,"Hoàng V?n Th?, Ph??ng 2, Qu?n Tân Bình, Tp H? Chí Minh","2,16 t? ",- 1 m2,Ch?a bàn giao,"2,16 t?/m²",2 phòng,Chung c?,Park Legend,"BÁN C?N H? PARK LEGEND QU?N TÂN BÌNH
- Di?n tích: 70.37m2.
- K?t c?u: 2 phòng ng? và 2 phòng t?m.
- Thi?t k? hi?n ??i k? l??ng, bàn giao n?i th?t c? b?n.
- C?a chính h??ng ?ông Nam, ban công r?ng rãi view ?ón gió thoáng mát.
C?n h? 2 phòng ng? là s? l?a ch?n hàng ??u dành cho các ?ôi v? ch?ng tr?, h? gia ?ình t? 2-4 thành viên mu?n tìm ki?m m?t ch?n an c? ?? yên tâm l?p nghi?p n?i thành ph? ?ông ?úc này.

Park Legend là m?t s?n ph?m c?a ch? ??u t? Tân Bình ICC ?ã ???c kh?i ??ng vào gi?a n?m 2018, d? ki?n hoàn thành vào ??u n?m 2020, cung ra th? tr??ng 176 c?n h?. D? án s? h?u hai m?t ti?n ???ng Hoàng V?n Th? và Ph?m V?n Hai – v? th? ??c ??a c?a Qu?n Tân Bình, k?t n?i ?a chi?u, thích h?p v?i nhu c?u an c? và ??u t? c?a khách hàng."
  C?N TI?N BÁN G?P C?N H? MOONLIGHT PARK VIEW Q BÌNH TÂN,"An L?c, Ph??ng An L?c A, Qu?n Bình Tân, Tp H? Chí Minh","1,53 t? ",- 1 m2,Ch?a bàn giao,"1,53 t?/m²",2 phòng,Chung c?,Moonlight Park View,"BÁN C?N H? MOONLIGHT PARK VIEW, BÌNH TÂN
- Di?n tích: 70m2.
- K?t c?u: 2 phòng ng? và 1 phòng t?m.
- Ban công h??ng B?c, view thành ph? s?m u?t.
- Thi?t k? hi?n ??i, bàn giao n?i th?t ??y ??.
C?n h? 2 phòng ng? là s? l?a ch?n hàng ??u dành cho các ?ôi v? ch?ng tr? mu?n tìm ki?m m?t ch?n an c? ?? yên tâm l?p nghi?p n?i thành ph? ?ông ?úc này.

C?n h? MoonLight Park View Bình Tân ???c xem là m?t d? án n?i b?t nhi?u ti?n ích cao c?p mà ch?a có d? án nào t?i khu v?c sánh b?ng. T?i khu MoonLight Park View tích h?p ??y ?? ti?n ích: H? b?i tràn b?, phòng t?p GYM, SPA, khu café ?n u?ng, trung tâm th??ng m?i, v.v."
"  BÁN C?n h? chung c?  Thanh ?a View so?? 7 Thanh ?a, P 27, Q BT","Thanh ?a, Ph??ng 27, Qu?n Bình Th?nh, Tp H? Chí Minh","4,5 t? ",- 98 m2,Ch?a bàn giao,"45,92 tri?u/m²",3 phòng,Chung c?,Thanh ?a View,"—BÁN C?n h? chung c?  Thanh ?a View so?? 7 Thanh ?a, P 27, Qua??n Bi?nh Tha?nh
—Di?n Tích :  98m2 3PN 2WC bán ?? L?i h?t N?i th?t  
—Tie??n i?ch,#HO??BO?I,#GYM, cu??a ha?ng tie??n lo??i,  ?o??i die??n Ch? Thanh ?a

—Vi? tri? na??m ngay ca??u thanh ?a, bao quanh la? So?ng SG cu??c ki? ma?t me? 

— ?ã có S? H?ng mua bán công ch?ng nhanh g?n l?

GIÁ BÁN : 4,5 t? th??ng l??ng"
  C?N H? VÕ V?N KI?T BÌNH TÂN,"???ng An D??ng V??ng, Ph??ng An L?c, Qu?n Bình Tân, Tp H? Chí Minh","3,2 t? ",- 67 m2,Ch?a bàn giao,"47,76 tri?u/m²",2 phòng,Chung c?,?ang c?p nh?t,"C?n h? Võ V?n Ki?t Bình Tân
1PN+: 51m2
2PN+: 67m2
3PN: 84m2
H? tr? lãi su?t 0% và ân h?n n? g?c 24 tháng ??n cu?i n?m 2025
Tr?c ???ng chính: An D??ng V??ng, Võ V?n Ki?t, Lý Chiêu Hoàng, Kinh D??ng V??ng, Tên L?a,...
G?n Aeon Mall, B?n Xe Mi?n Tây, B?nh Vi?n Tri?u An, Coop Mart,..."
"  C?N H? CAO C?P 2PN 67M2 G?N B?N XE MI?N TÂY, BÌNH TÂN","An D??ng V??ng, Ph??ng An L?c, Qu?n Bình Tân, Tp H? Chí Minh",650 tri?u ,- 67 m2,Ch?a bàn giao,"9,7 tri?u/m²",2 phòng,Chung c?,The Privia,"C?N H? CAO C?P 2PN 67M2 G?N B?N XE MI?N TÂY
Ch? thanh toán tr??c 20% kho?ng 650 tri?u
Mi?n g?c lãi trong 2 n?m
Ch? ??u t? Khang ?i?n uy tín và pháp lý chu?n
Bàn giao hoàn thi?n cao c?p
G?n B?n xe mi?n Tây, B?nh vi?n Tri?u An, Aeon Mall, Co.op Mart,...
Tr?c ???ng An D??ng V??ng, Kinh D??ng V??ng, Võ V?n Ki?t, Tên L?a, H?u Giang, Lý Chiêu Hoàng,..."
