TinhTrangBDS,DienTich,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Quan,USD
Đã bàn giao,96.0,3,,,3, Chung cư, Đã có sổ,,,,,, Quận 9,96000.0
Đã bàn giao,83.0,2, Landmark 5,5.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây Nam, Đông Bắc,, Quận Bình Thạnh,180000.0
Đã bàn giao,83.0,2,,,2, Chung cư,, ANB61171,,,,, Huyện Nhà Bè,140600.0
Đã bàn giao,50.0,1,,,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông, Đông,, Quận Bình Tân,55800.0
Đã bàn giao,56.0,1,,,1, Chung cư,,,,,,, Quận Bình Thạnh,120000.0
Đã bàn giao,51.0,2, A,6.0,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Tây,, Căn góc, Quận 12,68000.0
Chưa bàn giao,67.62,2, Dragon 2B,14.0,2, Chung cư, Đang chờ sổ, D2B.1410, Nội thất cao cấp, Đông Bắc, Tây Nam,, Quận 8,93440.0
Chưa bàn giao,68.0,2,,4.0,2, Chung cư, Giấy tờ khác,4.13, Hoàn thiện cơ bản,,,, Quận 8,71200.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,, Quận 6,118000.0
Đã bàn giao,89.0,3,,,2, Chung cư, Đang chờ sổ,,, Đông Nam,, Căn góc, Quận 10,228000.0
Đã bàn giao,55.0,2,,,2, Chung cư,,,,,,, Huyện Bình Chánh,60000.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Đã bàn giao,95.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Quận 7,212000.0
Đã bàn giao,40.0,2,,7.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Huyện Hóc Môn,11800.0
Đã bàn giao,68.0,2,,,2, Chung cư,,,,, Đông Nam,, Quận 8,96000.0
Đã bàn giao,69.0,2,,,2, Chung cư,,,,,,, Quận 8,104000.0
Đã bàn giao,69.36,2,,,2, Chung cư, Giấy tờ khác, ANB61105,,,,, Huyện Nhà Bè,111200.0
Chưa bàn giao,62.5,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Huyện Nhà Bè,88000.0
Đã bàn giao,69.0,2, mp5,,2, Chung cư, Đang chờ sổ,,, Tây Bắc, Đông Nam,, Huyện Bình Chánh,97200.0
Đã bàn giao,85.0,3, B,,2, Chung cư, Đang chờ sổ,,,, Nam, Căn góc, Quận Tân Phú,80000.0
Đã bàn giao,83.0,3, K,5.0,2, Chung cư, Đang chờ sổ,5, Nội thất đầy đủ, Nam, Bắc,, Huyện Nhà Bè,140000.0
Đã bàn giao,90.0,3,,,2, Chung cư,,,,,, Căn góc, Quận 9,118000.0
Đã bàn giao,73.0,2,,,2, Chung cư,, A0256008,,,,, Quận 2,148000.0
Chưa bàn giao,79.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,72000.0
Đã bàn giao,51.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,70000.0
Đã bàn giao,62.0,2, P,6.0,2, Chung cư, Đang chờ sổ, P6,, Tây Bắc, Đông Nam,, Quận Thủ Đức,77200.0
Đã bàn giao,75.0,2,,12.0,2, Chung cư, Đang chờ sổ,,, Nam, Bắc,, Huyện Bình Chánh,104400.0
Đã bàn giao,62.0,2,,,2, Chung cư,,,,,,, Quận 9,79200.0
Đã bàn giao,75.8,2,,,2, Chung cư,, A0260582,,,,, Quận 2,170800.0
Đã bàn giao,49.0,1, T1A,,1, Officetel, Đang chờ sổ,, Nội thất cao cấp, Tây, Đông,, Quận 7,78800.0
Đã bàn giao,40.0,1,,,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,,, Quận 12,18800.0
Đã bàn giao,90.0,2,3,8.0,2, Chung cư, Đã có sổ,,,,,, Quận 7,176000.0
Đã bàn giao,85.0,3,1,15.0,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Phú Nhuận,196000.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,, Quận 6,118000.0
Đã bàn giao,65.0,2,,,1, Chung cư,,,,, Đông,, Quận 8,72000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,73.6,2, S1,20.0,2, Chung cư, Đang chờ sổ,5, Nội thất cao cấp, Đông Bắc, Tây Nam,, Quận 7,154000.0
Đã bàn giao,87.0,2, Orchid 1,28.0,2, Chung cư, Đang chờ sổ, O1-28-12A, Nội thất đầy đủ, Tây Bắc, Đông Nam,, Quận 10,260000.0
Đã bàn giao,49.0,1,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận Bình Thạnh,119200.0
Đã bàn giao,78.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,83200.0
Đã bàn giao,45.0,2,,,2, Chung cư, Đã có sổ,,, Tây Bắc,,, Quận Bình Thạnh,124000.0
Chưa bàn giao,87.0,3,,,3, Chung cư,,,,,,, Quận Bình Thạnh,150000.0
Đã bàn giao,38.0,1,,,1, Chung cư,,,,,,, Quận Bình Thạnh,60000.0
Đã bàn giao,79.25,2,,,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,, Quận Phú Nhuận,184000.0
Chưa bàn giao,75.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Bình Tân,100000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,, Quận 7,64800.0
Chưa bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Huyện Nhà Bè,20000.0
Đã bàn giao,83.0,2, F,,2, Chung cư, Đã có sổ,,,, Đông Nam,, Quận Tân Bình,146000.0
Đã bàn giao,34.0,1, D,10.0,1, Chung cư, Giấy tờ khác, 5B,,,, Căn góc, Quận Bình Tân,24000.0
Đã bàn giao,120.0,3, A,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Bắc, Tây Nam, Căn góc, Quận 2,420000.0
Đã bàn giao,65.0,2,,,2, Chung cư, Đã có sổ,,,,, Căn góc, Quận Tân Phú,76000.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,,,,, Căn góc, Huyện Nhà Bè,47200.0
Chưa bàn giao,48.8,1," T2,T3",21.0,1, Chung cư, Giấy tờ khác, VIP, Hoàn thiện cơ bản,,,, Huyện Nhà Bè,120000.0
Chưa bàn giao,25.0,1,,,1, Officetel,,,,,,, Quận 8,36000.0
Đã bàn giao,56.0,2,,8.0,1, Chung cư, Đã có sổ,,,,, Căn góc, Quận 9,64400.0
Đã bàn giao,34.0,1,,,1, Chung cư,,,,,,, Quận Bình Tân,23800.0
Đã bàn giao,65.0,2,,,1, Chung cư,,,,, Đông,, Quận 8,72000.0
Đã bàn giao,68.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông, Tây,, Quận Bình Tân,64000.0
Chưa bàn giao,50.0,1,,,1, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 2,196000.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,, Quận 9,72000.0
Đã bàn giao,50.0,1,,,1, Chung cư,,,,,,, Huyện Bình Chánh,62000.0
Đã bàn giao,71.0,2,,,2, Chung cư,, ANB60391,,,,, Huyện Nhà Bè,102800.0
Đã bàn giao,72.92,2,,,2, Chung cư,,,,, Nam,, Quận Tân Bình,156000.0
Chưa bàn giao,53.0,2,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 8,48200.0
Đã bàn giao,72.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,84800.0
Đã bàn giao,71.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Thủ Đức,120400.0
Đã bàn giao,89.0,3,,,2, Chung cư,,,,,,, Quận Bình Thạnh,162000.0
Đã bàn giao,66.0,2,,,2, Chung cư,,,,,,, Quận Bình Thạnh,135200.0
Đã bàn giao,65.0,2, A,14.0,2, Chung cư, Đã có sổ, A15, Nội thất cao cấp, Bắc, Nam, Căn góc, Quận 12,87600.0
Đã bàn giao,73.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 2,120000.0
Đã bàn giao,79.0,2,,,2, Chung cư,,,, Tây Bắc, Đông Nam,, Quận Bình Tân,107600.0
Đã bàn giao,66.0,2,,,2, Chung cư,,,,,,, Quận Bình Thạnh,140000.0
Đã bàn giao,68.0,2,,,1, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông Nam, Tây Bắc,, Quận 8,106000.0
Đã bàn giao,64.0,2, K,10.0,2, Chung cư, Đang chờ sổ, K.10.07, Nội thất đầy đủ, Nam, Bắc,, Huyện Nhà Bè,132000.0
Đã bàn giao,98.0,2,,,2, Chung cư,,, Nội thất đầy đủ,,,, Quận Phú Nhuận,248000.0
Chưa bàn giao,50.0,2, Lovely,,1, Chung cư, Giấy tờ khác,, Nội thất đầy đủ,,, Căn góc, Quận Thủ Đức,67200.0
Chưa bàn giao,49.0,1,,,1, Chung cư,,,,,,, Quận Thủ Đức,75600.0
Đã bàn giao,53.0,1,,,1, Chung cư,,,, Đông Nam, Tây Bắc,, Quận Tân Phú,94000.0
Đã bàn giao,59.0,1,,,1, Chung cư,,,,,,, Quận 9,66000.0
Chưa bàn giao,56.0,2,,,1, Chung cư,,,,,,, Quận Bình Tân,84000.0
Đã bàn giao,194.0,3,,,3, Penthouse, Đã có sổ,, Nội thất cao cấp, Nam, Tây Bắc, Căn góc, Quận 7,280000.0
Đã bàn giao,56.0,2, b3,5.0,1, Chung cư, Đã có sổ,, Nội thất đầy đủ, Nam, Tây,, Quận 1,107600.0
Đã bàn giao,60.45,2, A3,18.0,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam,, Quận Thủ Đức,67600.0
Đã bàn giao,83.6,3, e,3.0,2, Chung cư, Đang chờ sổ,303, Nội thất cao cấp, Nam, Đông Bắc,, Quận Tân Phú,152000.0
Đã bàn giao,73.6,2, S1,20.0,2, Chung cư, Đang chờ sổ,5, Nội thất cao cấp, Đông Bắc, Tây Nam,, Quận 7,154000.0
Đã bàn giao,71.42,2,,,2, Chung cư,, ANB61056,,,,, Huyện Nhà Bè,119600.0
Chưa bàn giao,46.0,1,,,1, Chung cư,,,,,,, Quận 9,94720.0
Đã bàn giao,79.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,72000.0
Đã bàn giao,72.0,2,,9.0,2, Chung cư, Đang chờ sổ,2, Hoàn thiện cơ bản,,,, Quận 8,130000.0
Đã bàn giao,80.0,2, landmark,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Tây, Đông,, Quận Bình Thạnh,180000.0
Đã bàn giao,38.0,1,,,1, Chung cư,,,,,,, Quận Bình Thạnh,68000.0
Chưa bàn giao,46.0,2, Fortuna,26.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông, Tây, Căn góc, Huyện Nhà Bè,17680.0
Đã bàn giao,48.5,1,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 2,86000.0
Đã bàn giao,86.0,3,,,2, Chung cư,,,,,,, Quận Bình Thạnh,172000.0
Chưa bàn giao,52.0,1,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 8,66200.0
Đã bàn giao,106.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc, Quận 7,156000.0
Chưa bàn giao,40.0,1,,,1, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận Bình Tân,32000.0
Đã bàn giao,99.0,3, D,30.0,3, Duplex, Đã có sổ,, Nội thất đầy đủ,,,, Huyện Nhà Bè,120000.0
Đã bàn giao,74.0,2,,,2, Chung cư,,,,,,, Quận 1,252000.0
Đã bàn giao,88.0,2,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ, Đông Bắc, Tây Bắc,, Quận Thủ Đức,95920.0
Đã bàn giao,69.0,2,,,2, Chung cư,,, Nội thất đầy đủ,,,, Quận Phú Nhuận,155200.0
Đã bàn giao,59.0,2,,,1, Chung cư, Giấy tờ khác,,, Đông Nam, Tây Bắc,, Quận 9,90000.0
Đã bàn giao,80.0,2,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận 4,66000.0
Đã bàn giao,58.0,2,,18.0,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,, Đông Nam, Căn góc, Quận Thủ Đức,52000.0
Đã bàn giao,64.0,2, A7A8,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Bình Tân,68800.0
Đã bàn giao,53.0,2,,,1, Chung cư, Đã có sổ,,,,,, Quận 9,60000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,, Quận 9,72000.0
Đã bàn giao,73.0,3,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,78000.0
Chưa bàn giao,25.0,1,,,1, Chung cư,,,,,,, Quận 8,34800.0
Đã bàn giao,91.0,2,,,2, Chung cư, Đã có sổ,,,,,, Huyện Nhà Bè,52000.0
Đã bàn giao,52.0,1,,,1, Chung cư,,,,,,, Quận Bình Thạnh,82000.0
Chưa bàn giao,62.0,2," B,C",22.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Nam, Tây Bắc, Căn góc, Huyện Nhà Bè,76000.0
Chưa bàn giao,56.0,2,,,1, Chung cư,,,,,,, Quận Bình Tân,83200.0
Đã bàn giao,71.42,2,,,2, Chung cư,, ANB61038,,,,, Huyện Nhà Bè,136800.0
Đã bàn giao,52.0,2,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 7,118000.0
Đã bàn giao,75.0,2, Mp2,16.0,2, Chung cư,,,, Bắc,, Căn góc, Huyện Bình Chánh,100000.0
Đã bàn giao,70.0,2, A,6.0,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Đông Bắc, Tây Nam, Căn góc, Quận Thủ Đức,95600.0
Đã bàn giao,71.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,88000.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,111.0,3, B,21.0,2, Chung cư, Đang chờ sổ, 21-01B, Hoàn thiện cơ bản,,, Căn góc, Quận 11,239600.0
Chưa bàn giao,65.0,2, B,9.0,2, Chung cư, Đang chờ sổ,9, Nội thất cao cấp, Đông Nam,, Căn góc, Quận 7,72000.0
Đã bàn giao,51.0,2, C,16.0,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận 12,71200.0
Chưa bàn giao,59.0,2,,,1, Chung cư,,,,,,, Huyện Bình Chánh,28800.0
Đã bàn giao,120.0,3,,,2, Duplex, Đã có sổ,, Nội thất cao cấp, Bắc, Nam,, Quận 7,128000.0
Đã bàn giao,124.6,3,,,2, Chung cư,,,, Tây Bắc, Đông Nam,, Quận 2,276000.0
Chưa bàn giao,69.0,2, W3,23.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Nam, Tây Bắc, Căn góc, Quận 6,25200.0
Chưa bàn giao,56.0,2,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận Bình Thạnh,67200.0
Đã bàn giao,69.0,2, A,9.0,2, Chung cư, Đã có sổ, A9,, Bắc, Nam,, Quận 12,64000.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,70.12,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Nam, Bắc,, Quận 7,114000.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Đã bàn giao,65.0,2,,,1, Chung cư,,,,, Đông,, Quận 8,72000.0
Chưa bàn giao,75.0,2,2,5.0,2, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,, Quận Bình Tân,103200.0
Đã bàn giao,60.0,1,,,1, Chung cư, Đã có sổ,, Nội thất cao cấp,,,, Quận 7,116000.0
Đã bàn giao,106.0,3,,,2, Chung cư,,,,,,, Quận 2,152800.0
Đã bàn giao,88.0,2,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 2,236000.0
Đã bàn giao,67.0,2,,,2, Chung cư,,,,,,, Quận 7,62800.0
Chưa bàn giao,68.0,2,1,8.0,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông Nam, Tây Bắc, Căn góc, Quận 8,17400.0
Chưa bàn giao,101.0,3,,,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản, Đông Nam, Tây Bắc, Căn góc, Quận 2,212000.0
Chưa bàn giao,48.0,2,,,2, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,,, Quận 7,67200.0
Đã bàn giao,68.0,2,,12.0,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Nam, Bắc,, Quận 7,127200.0
Đã bàn giao,81.0,3,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 9,110000.0
Đã bàn giao,124.0,3,,15.0,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận Bình Thạnh,58000.0
Chưa bàn giao,65.0,2, A,26.0,2, Chung cư,, A.6.6, Nội thất cao cấp, Tây Bắc, Đông Nam,, Quận 7,88000.0
Đã bàn giao,66.0,3, B1,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Tây,,, Quận 9,76000.0
Chưa bàn giao,40.0,2,,3.0,1," Căn hộ dịch vụ, mini", Đang chờ sổ,,, Đông Nam, Bắc,, Quận Tân Phú,40000.0
Đã bàn giao,69.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,106000.0
Đã bàn giao,128.0,3, B,,2, Chung cư, Đang chờ sổ,,, Nam, Bắc,, Quận 7,130000.0
Đã bàn giao,33.6,1,,,1, Chung cư, Đang chờ sổ,,,, Đông Nam,, Quận 9,46240.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,160.0,2, B,,2, Chung cư, Đã có sổ,4, Nội thất đầy đủ, Tây Bắc,,, Quận 5,496000.0
Đã bàn giao,53.0,2,,,1, Chung cư, Đã có sổ,,,,,, Quận 9,60000.0
Đã bàn giao,73.0,3,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,78000.0
Đã bàn giao,60.45,2, A3,18.0,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản, Đông Bắc, Tây Nam,, Quận Thủ Đức,67600.0
Đã bàn giao,53.0,1,,,1, Chung cư,,,, Đông Nam, Tây Bắc,, Quận 9,64800.0
Đã bàn giao,78.0,2,1,7.0,2, Chung cư, Đã có sổ,, Nội thất cao cấp,, Đông Nam, Căn góc, Quận 12,92000.0
Đã bàn giao,91.0,3,,,2, Chung cư,,,,, Nam,, Quận Phú Nhuận,200000.0
Chưa bàn giao,33.0,1,,,1, Duplex, Giấy tờ khác,, Nội thất đầy đủ,,,, Quận 7,40000.0
Chưa bàn giao,100.0,3,,,0, Chung cư,,,,,, Căn góc, Quận Bình Tân,138000.0
Đã bàn giao,55.0,1,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 9,74000.0
Đã bàn giao,70.45,2,,,2, Chung cư,, ANB61107,,,,, Huyện Nhà Bè,136800.0
Đã bàn giao,84.95,2,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 2,164000.0
Chưa bàn giao,30.0,1, s9.01,19.0,1, Chung cư,,19.14,,,,, Quận 9,18320.0
Đã bàn giao,67.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận 8,67600.0
Đã bàn giao,83.2,3,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc, Quận 9,24000.0
Đã bàn giao,91.2,3,,,2, Chung cư, Đã có sổ,, Nội thất đầy đủ,,,, Quận 9,124000.0
Chưa bàn giao,54.0,1,,,1, Chung cư,,,,,,, Quận 9,68800.0
Đã bàn giao,63.0,2, D,9.0,1, Chung cư, Đang chờ sổ, A-B-C-D-E-F, Hoàn thiện cơ bản, Đông, Đông, Căn góc, Quận Tân Phú,114000.0
Chưa bàn giao,56.0,2,,,1, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,,, Quận Thủ Đức,15960.0
Đã bàn giao,65.0,2,,,1, Chung cư, Đang chờ sổ,, Nội thất đầy đủ, Đông Bắc, Tây Nam,, Quận 4,168000.0
Đã bàn giao,83.0,2,,9.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 6,142400.0
Đã bàn giao,104.0,3,,,2, Chung cư, Đang chờ sổ,,, Tây Nam, Đông Bắc, Căn góc, Quận Tân Phú,192000.0
Chưa bàn giao,65.0,2," A,B",25.0,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp, Đông Nam, Tây Bắc, Căn góc, Quận 8,15600.0
Đã bàn giao,51.0,2,,5.0,2, Chung cư, Đã có sổ,515,,, Đông Nam,, Quận Thủ Đức,69200.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,73.6,2, S1,20.0,2, Chung cư, Đang chờ sổ,5, Nội thất cao cấp, Đông Bắc, Tây Nam,, Quận 7,154000.0
Chưa bàn giao,54.0,2,,,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản,,, Căn góc, Quận 8,98000.0
Đã bàn giao,64.0,2, A7A8,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc, Căn góc, Quận Bình Tân,68800.0
Đã bàn giao,52.0,2,,,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Tây, Đông,, Quận Bình Thạnh,92800.0
Đã bàn giao,108.0,3,,2.0,4," Tập thể, cư xá", Đã có sổ,, Bàn giao thô, Nam, Nam,, Quận 9,284000.0
Đã bàn giao,80.0,3,,,2, Chung cư,,,, Tây Nam, Đông Bắc,, Quận 2,154000.0
Chưa bàn giao,41.0,1,1,6.0,1," Căn hộ dịch vụ, mini", Đang chờ sổ,, Nội thất đầy đủ,,, Căn góc, Quận Bình Tân,39520.0
Đã bàn giao,55.0,2, b,13.0,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam,, Căn góc, Quận Thủ Đức,79600.0
Đã bàn giao,67.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,64000.0
Chưa bàn giao,52.0,2,,,1, Chung cư, Giấy tờ khác,, Hoàn thiện cơ bản,,,, Quận 8,72000.0
Chưa bàn giao,127.0,3, Linden T1A,31.0,2, Chung cư, Đang chờ sổ,7, Hoàn thiện cơ bản,,, Căn góc, Quận 2,600000.0
Đã bàn giao,90.0,3,,,2, Chung cư,,,,,,, Quận 9,110600.0
Đã bàn giao,147.0,3,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp,,, Căn góc, Quận 7,260000.0
Đã bàn giao,62.0,2,,,2, Chung cư,,,,,,, Quận Thủ Đức,72000.0
Chưa bàn giao,56.4,2,,,1, Chung cư, Giấy tờ khác,, Nội thất đầy đủ,,,, Quận Thủ Đức,50000.0
Đã bàn giao,69.7,3,,,2, Chung cư, Đang chờ sổ,, Nội thất đầy đủ,,,, Quận 9,95282.00276
Đã bàn giao,65.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Gò Vấp,56000.0
Chưa bàn giao,85.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Tân Phú,164000.0
Đã bàn giao,47.0,1,,,1, Chung cư,,,,,,, Quận 9,69800.0
Đã bàn giao,30.0,1,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 8,59600.0
Đã bàn giao,86.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,,, Quận 7,180000.0
Đã bàn giao,63.0,2,,,2, Chung cư, Đang chờ sổ,, Hoàn thiện cơ bản,,,, Quận Bình Tân,64000.0
Đã bàn giao,65.0,2,,,1, Chung cư,,,,, Đông,, Quận 8,72000.0
Đã bàn giao,75.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 9,100800.0
Đã bàn giao,73.6,2, S1,20.0,2, Chung cư, Đang chờ sổ,5, Nội thất cao cấp, Đông Bắc, Tây Nam,, Quận 7,154000.0
Đã bàn giao,72.25,2,,,2, Chung cư, Đang chờ sổ,,,,, Căn góc, Quận 8,84000.0
